character,universe,page_length
Lorena Marquez,Earth 16,352478
Lori,Dark Multiverse,358951
Lori Lemaris,Earth-149,357206
Lucia Hyde,Prime Earth,365450
Madame Langrock,Prime Earth,357645
Manlius,Earth-Two,353146
Mer-Man,Earth 36,371175
Mera,DC Legends,358140
Mera,DCeased,358537
Mera,Tidebreaker,376642
Murk,DC Extended Universe,359579
Murk,Prime Earth,379713
Narkran,New Earth,354020
Nepto,Filmation Adventures,350977
Nereus,DC Bombshells,355960
Nereus,DC Extended Universe,377862
Nuada Silverhand,New Earth,363197
Nuidis Vulko,Prime Earth,390524
Octavia,Earth-Two,379119
Ondine,Prime Earth,377858
Orm Marius,DC Extended Universe,384124
Orm Marius,DC Unchained,355876
Orvax Marius,Prime Earth,381201
Ptra,Earth-Two,361227
Queen Clea,Earth-Two,382252
Queen Clea,New Earth,372362
Rhodon,Prime Earth,375637
Rhombus,New Earth,355442
Ronal,Earth-One,357409
Ronal,New Earth,363168
Rowa,Prime Earth,375219
Ryus,Prime Earth,360258
Ryus,Tidebreaker,373425
Sark,Prime Earth,355789
Siron,Prime Earth,373219
Sontag Henya,Earth-Two,353001
Swatt,Prime Earth,373784
Tempest,Ame-Comi,372309
Thnita,Prime Earth,372801
Tula,New Earth,395516
Tula,Prime Earth,392752
Underwaterman,Earth 10,354649
Urcell,Prime Earth,386688
Urn,Prime Earth,373794
Vulko,DC Extended Universe,376614
Zeekil Neol,Prime Earth,376788
Rosalind Dillon,Arrowverse,357037
Vertigo,DC Animated Movie Universe,372861
Werner Vertigo,Earth-16,368999
Werner Vertigo,Flashpoint Timeline,349825
Werner Vertigo,New Earth,385979
Werner Vertigo,The Batman TV Series,358046
Werner Zytle,Prime Earth,363887
Agamemno,New Earth,369261
"Alexander Luthor, Jr.",Earth-Three,397854
Alfred Protocol,Earth -44,366070
Amber LeRoux,Wildstorm Universe,351646
Amoeba,Earth-S,350795
Angela Spica,Wildstorm Universe,385161
Atom,DC One Million,351871
Baron Bedlam II,New Earth,357126
Basil Karlo,The Batman TV Series,370497
Billy Numerous,Teen Titans TV Series,356401
Bizarro,New Earth,385757
Bizarro-Plastic Man,Earth 29,357180
Bloody Mary,Fables,357460
Bruce Wayne,Earth -22,491768
Bruce Wayne,Earth -44,397686
Carggites,Carggite,352738
Cary Richards,New Earth,355368
Cassius Payne,New Earth,360586
Catwoman II,Hush Beyond,370879
Christopher Champion,Atari Force,358458
Chroma,New Earth,362162
Clifford Steele,Prime Earth,403832
Czarnians,Czarnian,357546
Danny the Street,Prime Earth,371770
Danton Black,Arrowverse,358629
Danton Black,Hush Beyond,356916
Danton Black,Injustice,346616
Danton Black,New Earth,393284
Danton Black,Prime Earth,369659
Dee Dee,DCAU,368805
Duplicate Man,Earth-One,352254
Durlans,Durlan,409170
Enchantress,Prime Earth,410167
Enya Wazzo,New Earth,363113
Eon,Prime Earth,359291
Eskaton Demons,Eskaton Demon,359660
Ethan Bennett,The Batman TV Series,379874
Evil,Earth-S,352883
Frederick von Frankenstein,Superman Returns,349141
Gerome McKenna,New Earth,358250
Gray Man I,New Earth,360257
Gray Man II,New Earth,356850
Henry Hall,New Earth,415499
Hyve,New Earth,353481
Ian Randall,Smallville,357861
Insectoids,Insectoid,345462
Jaina Hudson,Prime Earth,362755
Jinny Hex,Prime Earth,376231
John Corben,New Earth,420035
John Marlowe,The Batman TV Series,357867
Joker 2.0,The Batman TV Series,363078
Jonathan Osterman,Watchmen Movie,389253
Jonathan Osterman,Watchmen,456442
Joseph Meach,Earth-One,380633
Kal-El,Strange Visitor,387369
Karaku,Prime Earth,356164
Kryptomites,Kryptomite,354386
Liseth Vok,Prime Earth,358770
Lobo,American Alien,361506
Lobo,Batman/Lobo,360714
Lobo,DCAU,376426
Lobo,Earth-16,364762
Lobo,Injustice,393347
Lobo,New Earth,434664
Lobo II,Prime Earth,403788
Luornu Durgo,Earth-Prime,358695
Luornu Durgo,Post-Zero Hour,362875
Lyla Michaels,Pre-Crisis,374371
Lyla Michaels,Superman/Batman,351258
Manuel Lago,Prime Earth,359254
Martian Manhunter II,Future State,359255
Matthew Hagen,DCAU,374208
Michael Maxwell,Teen Titans Go! TV Series,349960
Missile Men,Earth-One,365102
Mister Amoeba,Earth-Twelve,352301
Namma,Prime Earth,391948
Nathaniel Adam,Prime Earth,386610
Patrick O'Brian,Prime Earth,377897
Paul Morris,Dakotaverse,363873
Perpetua,Sixth Dimension,414743
Ph'yzzon,New Earth,358805
Phalanx,New Earth,349885
Plasmus,Teen Titans TV Series,360091
PlaSStic Men,Earth 10,359080
Plutonium Man,New Earth,362646
Pralaya,Prime Earth,355580
Raven,Teen Titans Go! TV Series,379845
Reggie Meyer,Prime Earth,373401
Reprise,Dakotaverse,374444
Repro,New Earth,351648
Rex Mason,New Earth,409492
Richard Swift,Prime Earth,383518
Saahira,Wildstorm Universe,358574
Schlangenfaust,Soul of the Dragon,360510
Silent Majority,New Earth,363522
Silent Majority II,New Earth,350960
Silica,New Earth,372929
Simon Ecks,Earth-16,354220
Simon Ecks,Prime Earth,362039
Source,Teen Titans Go! TV Series,352623
Source,Teen Titans TV Series,353537
Star Conquerors,Star Conqueror,342673
Starro,Earth-16,349441
Starro,Prime Earth,371598
Susan Lang,Futures End,360867
Swarm,New Earth,351624
Symbeasts,Symbeast,350285
Tamaraneans,Tamaranean,394719
Ten of Hearts,DCAU,351480
Termite Queen,Earth-Two,359289
Terrence Thirteen,Danny's Dream,348680
Tetrad Force,New Earth,351031
Tinya Wazzo,Post-Zero Hour,394890
Uncle Sam,New Earth,386625
Upside-Down Man,Dark Multiverse,379556
Velorpians,Velorpian,347878
Vril Dox I,New Earth,444606
Wallace Johnson,New Earth,363552
Waylon Jones,Prime Earth,411246
Worm,New Earth,352095
Wyld,New Earth,359082
Xan,Earth-One,370194
Yang Kei-Ying,New Earth,356946
Yang Kei-Ying,Prime Earth,351020
Zou Kang,New Earth,361347
Alec Holland,New Earth,377556
Amunet Black,New Earth,432642
Amunet Black,Prime Earth,356773
Axel Asher,Marvel Universe,358391
Chemo,DC Universe Online,355601
Chemo,DCAU,353519
Chemo,New Earth,373667
Chemo,The Brave and the Bold,359924
Clayface's Hand,Harley Quinn TV Series,350311
Clifford Battles,Earth-One,350570
"Deimos, God of Terror",Prime Earth,367188
Echidna,Prime Earth,357903
Eric Strauss,New Earth,361544
Infinity Man,Futures End,368555
Infinity Man,Prime Earth,387631
Linda Strauss,New Earth,362191
Matrix,Pocket Universe,403349
Phobos,Prime Earth,368940
Rachel Berkowitz,Earth-One,393924
Ronald Raymond,Justice League Action,367883
Shadow Demons,Shadow Demon,356842
Alexander Luthor,Earth 3,384879
Batzarro,Lego Batman,356991
Batzarro,Lego DC Heroes,351833
Bizarra,Earth 29,382703
Bizarra,Lego Batman,356994
Bizarra,Lego DC Heroes,352088
Bizarress,Prime Earth,356389
Bizarrfo,Farm League,351780
Bizarro,All-Star Superman,359152
Bizarro,DC Super Friends Web Series,357405
Bizarro,DCAU,371910
Bizarro,Earth 23,355638
Bizarro,Earth-149,356420
Bizarro,Earth-30,368007
Bizarro,Earth-423,359984
Bizarro,Earth-508,362753
Bizarro,Earth-One,394521
Bizarro,Injustice,360058
Bizarro,Justice League Action,357188
Bizarro,Justice,363961
Bizarro,Lego Batman,366062
Bizarro,Lego DC Heroes,361837
Bizarro,Lil Gotham,353316
Bizarro,Scooby-Doo Team-Up,386836
Bizarro,Super Friends,361523
Bizarro,Superboy TV Series,354143
Bizarro,Tales of Metropolis Shorts,358195
Bizarro,Tiny Titans,369344
Bizarro,Trapped In Time,358903
Bizarro All-Star,DCAU,353378
Bizarro Aquaman,Earth-508,357352
Bizarro Arsenal,New Earth,351928
Bizarro Atom,New Earth,348766
Bizarro Batman,DCAU,352435
Bizarro Batman,Earth-508,356209
Bizarro Batman,Earth-One,362333
Bizarro Batman,Lil Gotham,352730
Bizarro Beast Boy,Tiny Titans,349339
Bizarro Big Barda,New Earth,352054
Bizarro Brainiac,New Earth,353461
Bizarro Catwoman,New Earth,350067
Bizarro Cyborg,Tiny Titans,350733
Bizarro Doctor Fate,New Earth,349140
Bizarro Fire,New Earth,355219
Bizarro Flash,Earth-508,355377
Bizarro Girl,Tiny Titans,356046
Bizarro Green Lantern,Earth-508,359503
Bizarro Hawkgirl,New Earth,358713
Bizarro Hawkman,Earth-One,358618
Bizarro I,New Earth,373019
Bizarro Ice,New Earth,351745
Bizarro II,New Earth,358297
Bizarro II,Prime Earth,374576
Bizarro Jimmy Olsen,Earth-508,352833
Bizarro Jimmy Olsen,Earth-One,357168
Bizarro Krypto,Earth-508,350622
Bizarro Krypto,Earth-One,356848
Bizarro Lex Luthor,Earth-One,348332
Bizarro Lois Lane,Earth-508,353329
Bizarro Lois Lane,Earth-One,350164
Bizarro Match,Tiny Titans,351170
Bizarro Mister Miracle,New Earth,352295
Bizarro Mxyzptlk,Earth-One,350947
Bizarro Perry White,Earth-508,353342
Bizarro Perry White,Earth-One,362569
Bizarro Robin,Tiny Titans,349815
Bizarro Rocket Red,New Earth,352080
Bizarro Starfire,Tiny Titans,349300
Bizarro Superboy,Earth-One,362882
Bizarro Superboy II,Pre-Zero Hour,357532
Bizarro Supergirl,Earth-One,365814
Bizarro Supergirl,New Earth,382634
Bizarro Titano,Earth-One,350592
Bizarro Wonder Woman,Earth-508,358232
Bizarro Wonder Woman,Earth-One,356096
Bizarro Yellow Lantern,Earth-One,355768
Bizarro Zatanna,New Earth,349694
"Bizarro, Jr.",Earth-508,350699
"Bizarro, Jr.",Earth-One,355373
Bizarro-Batman,Earth 29,359824
Bizarro-Girl,New Earth,397374
Bizarro-Green Lantern,Earth 29,360757
Bizarro-Lois Lane,Earth 29,355712
Bizarro-Metamorpho,Earth 29,353796
Bizarro-Mister Terrific,Earth 29,353242
Bizarro-Phantom Girl,Earth 29,355672
Bizarro-Sinestro,Earth 29,356200
Bizarro-Superboy,Earth 29,356353
Bizarro-Superman,Earth 29,369503
Boy Beast,Teen Titans Go! TV Series,357901
Brutaal,Earth 2,393994
Cyzarro,Lego Batman,356712
Cyzarro,Lego DC Heroes,353254
Duck-Zarro,Tiny Titans,351274
Erifrats,Teen Titans Go! TV Series,357853
Greenzarro,Lego Batman,361338
Greenzarro,Lego DC Heroes,353579
Grobyc,Teen Titans Go! TV Series,357386
Kent Connor,New Earth,377755
Kent Connor,Tiny Titans,364315
Kon-El,Earth 16,350722
Metallo,Earth 29,354025
Nevar,Teen Titans Go! TV Series,357747
New Bizarro,Earth-One,354089
Nibor,Teen Titans Go! TV Series,358147
S-01,New Earth,367108
Sramian Snitch,Earth 29,354724
Subject A-0,Prime Earth,354954
Subject B-0,Prime Earth,369387
Abel Tarrant,Green Lantern Animated Series,354898
Abel Tarrant,New Earth,373257
Abel Tarrant,Prime Earth,354758
Ariadne Pinxit,New Earth,351865
Jeremy Tell,Arrowverse,355866
Jeremy Tell,New Earth,365167
Jeremy Tell,Prime Earth,355824
John Oakes,New Earth,361260
John Oakes,Prime Earth,352222
Mark Richards,Flashpoint Paradox,354116
Mark Richards,Flashpoint Timeline,348219
Mark Richards,New Earth,369567
Mark Richards,Prime Earth,359240
Mark Richards,The Brave and the Bold,352291
Tats,Prime Earth,351089
Tattoo II,New Earth,347247
Alexei Luthor,Earth-Two,381381
Arthur Penn,Gotham,382350
Bruce the Hyena,DC Extended Universe,353771
Dennis Colt,Earth-Spirit,353641
Harleen Quinzel,DC Extended Universe,386967
Harleen Quinzel,DCAU,398078
Harleen Quinzel,Harley Quinn TV Series,383873
Harleen Quinzel,Scooby-Doo Team-Up,362211
Irwin Schwab,Lego Batman,356495
Jeremiah Valeska,Gotham,401537
Joker,Arkhamverse,394901
Joker,DC Extended Universe,379238
Joker,DCAU,419495
Joker,Earth-3839,356510
Joker,Earth-Two,419253
Joker,Harley Quinn TV Series,378817
Joker,New Earth,477438
Joker,Prime Earth,464835
Joker,Scooby-Doo Team-Up,364721
Joker,The Brave and the Bold,385235
Joker Jr.,Prime Earth,364250
Lazarus Lane,New Earth,368823
Lazarus Lane,Prime Earth,352658
Oswald Cobblepot,Gotham,402014
Selina Kyle,Batman 1966 TV Series,383195
Selina Kyle,Burtonverse,374407
Selina Kyle,Gotham,382440
Condo Arlik,Pre-Zero Hour,385224
Hadru Jamik,Pre-Zero Hour,381442
Queega Semk,Pre-Zero Hour,374680
Asami Koizumi,Earth-16,353146
Benjamin Turner,New Earth,430382
Bruce Wayne,New Earth,848293
Kong Kenan,Prime Earth,393550
Richard Drakunovski,New Earth,387360
Science Spire,Science Spir,345002
Victor Sage,New Earth,406826
Wizened Sage,New Earth,350052
Alec Holland,DC Animated Movie Universe,355753
Alec Holland,DC Legends,357929
Alec Holland,DCAU,367322
Alec Holland,DCeased,365543
Alec Holland,Injustice,367759
Alec Holland,Justice League Action,360678
Alicia Collins,New Earth,366349
Benedict Booker,Prime Earth,358389
Blackbriar Thorn,Earth-16,356623
Blackbriar Thorn,New Earth,372591
Blackbriar Thorn,Prime Earth,352130
Bog Venus,New Earth,354960
Botanist,Dakotaverse,350041
Brother Jonah,Prime Earth,365389
Chang Ming-Zu,Prime Earth,394338
Circe,Earth-Two,357376
Commius,Prime Earth,358368
Cyrus Gold,Earth-Two,383782
Deadfall II,New Earth,352758
Demeter,Prime Earth,375620
Diane Dorst,New Earth,357271
Dryads,Dryad,353141
Edward Dane,Wildstorm Universe,357088
Felix Faust,DCAU,363878
Ferak,New Earth,350467
Flora Hershfeld,Wildstorm Universe,354951
Frederick Delmar,New Earth,361216
Ghost Hiding in the Rushes,New Earth,353301
Gloria,Smallville,354170
Gog I,New Earth,366648
Green of the Rainbow Raiders,New Earth,353155
Hazel,Prime Earth,351133
Isaac Fisher,New Earth,354034
Ivy Pepper,Gotham,363516
Jason Woodrue,Prime Earth,392215
Jason Woodrue,Swamp Thing 2019 TV Series,366495
Jinx,Lego Batman,357745
John Constantine,Lego Batman,361284
Jon Haraldson,Prime Earth,361647
June Moone,Lego Batman,372267
Kettle Hole Devil,New Earth,353225
Lady Weeds,Prime Earth,391910
Liana,Earth-Six,351405
Maya of the Dryads,New Earth,356439
Mayflower,New Earth,353470
Mister Green,Quality Universe,352055
Moz-Ga,Prime Earth,356883
Nathaniel Heywood,Arrowverse,377686
"Osiris, God of the Dead",New Earth,355350
Pamela Isley,Ame-Comi,354763
Pamela Isley,Arkhamverse,371443
Pamela Isley,Arrowverse,356280
Pamela Isley,Batman Ninja,355721
Pamela Isley,Batman vs. TMNT,361278
Pamela Isley,Burtonverse,395100
Pamela Isley,Created Equal,347569
Pamela Isley,DC Animated Movie Universe,362809
Pamela Isley,DC Legends,357684
Pamela Isley,DC Super Friends Web Series,356830
Pamela Isley,DC Super Hero Girls TV Series,356360
Pamela Isley,DC Super Hero Girls,358085
Pamela Isley,DCAU,382618
Pamela Isley,DCeased,362188
Pamela Isley,Earth-16,358740
Pamela Isley,Earth-19,356289
Pamela Isley,Earth-43,355469
Pamela Isley,Gotham A.D.,356564
Pamela Isley,Gotham City Garage,350658
Pamela Isley,Harleen,360158
Pamela Isley,Harley Quinn TV Series,379591
Pamela Isley,Injustice,379981
Pamela Isley,Justice League Action,355424
Pamela Isley,Justice,356559
Pamela Isley,Lego Batman,367466
Pamela Isley,Prime Earth,421269
Pamela Isley,Super Best Friends Forever,348449
Pamela Isley,Teen Titans Go! TV Series,352790
Pamela Isley,The Batman TV Series,355743
Pamela Isley,The Brave and the Bold,354266
Pamela Isley,The Lego Movie,357639
Pamela Isley,White Knight,352177
Peony McGill,Prime Earth,351732
Persephone,Future State,373984
Ral Benem,Earth-Prime,373570
Ral Benem,Legion of Super-Heroes TV Series,351366
Ral Benem,Pre-Zero Hour,361763
Rama Khan,New Earth,360930
Ramulus,New Earth,357666
Rose,Prime Earth,352524
Rose Canton,New Earth,367070
Saint Columba,New Earth,353741
Saul Constantine,Vertigo Universe,368609
Scarlet Rose,New Earth,348486
Sebastian Faust,New Earth,406590
Solomon Grundy,Earth 2,371732
Star Lily,Star Riders,348118
Swamp Thing,Damned,351337
Swamp Thing,DC Bombshells,348870
Swamp Thing,Prime Earth,377655
Swamp Thing,Swamp Thing 2019 TV Series,356229
Syl,Prime Earth,348660
Thorn,Prime Earth,354839
Tsaritsa,Harley Quinn TV Series,363858
Una,Doom Force,348156
Wolf,Prime Earth,361529
Zahra Abed,Prime Earth,364483
Zatanna Zatara,Lego Batman,362342
Ahl,Prime Earth,361900
Ahti,New Earth,352951
Alexander Luthor,New Earth,475491
Alias the Blur,New Earth,361730
Alias the Blur,Prime Earth,353921
Ambrose Chase,Wildstorm Universe,364597
Amenadiel,Lucifer TV Series,365703
Amparo Cardenas,Prime Earth,368211
Andrew McFee,New Earth,353161
Angelo Bend,Prime Earth,363197
Anglette,Prime Earth,352683
Asteroth,New Earth,377464
Baaldurians,Baaldurian,354664
Barbara Kean,Gotham,382767
Barbatos,New Earth,358484
Basanos,New Earth,358037
Black Flash,New Earth,430772
Brain,Prime Earth,392381
Brita An'nan,Pre-Zero Hour,375305
Casey Brinke,Prime Earth,367658
Chaon,New Earth,365919
Christopher Freeman,Earth-S,360903
Circe,Prime Earth,385622
Citizen Abra,Prime Earth,366111
Clock King III,Prime Earth,359800
Conscience,Earth-Two,348410
Daniel West,Futures End,354306
Daniel West,Out of Time,356400
Daniel West,Prime Earth,405762
Dark Angel,Earth-Seven,361498
Darkseid,Earth 2,443821
Darkseid,New Earth,466762
Darkseid,Prime Earth,474227
Darkworld (entity),New Earth,350063
David Clinton,DCAU,368458
David Clinton,Prime Earth,362887
Death,Prime Earth,354767
Deon Owens,Arrowverse,352159
Dreamslayer,Earth 8,368386
Eobard Thawne,Once and Future,358877
Eobard Thawne,Prime Earth,563660
Epoch,New Earth,364745
Eric Morden,Doom Patrol TV Series,380167
Euphor,Earth-One,361951
Evan McCulloch,New Earth,391821
Fatalist,New Earth,352492
Felix Faust,Prime Earth,386250
Francis Grey,The Batman TV Series,356168
Frida Novikov,Arrowverse,356233
Glorith,Pre-Zero Hour,384018
Gog,Earth-22,361379
Harrison Wells,Arrowverse,355669
Harvest,Prime Earth,369893
Inertia,New Earth,385009
Inertia,Prime Earth,357892
Inertia,Tiny Titans,355147
Ion,New Earth,363373
Izaya,New Earth,401860
James Cullen,Post-Zero Hour,360720
Jason Garrick,Prime Earth,402771
Jaxon Rugarth,Pre-Zero Hour,358044
Jazmin Cullen,Post-Zero Hour,380167
Jennifer Morgan,New Earth,362680
Jennifer Quarx,Wildstorm Universe,373528
Jenny Fractal,Wildstorm Universe,363115
Jill Peterson,New Earth,364660
John Constantine,Vertigo Universe,499353
John Starr,New Earth,362481
John Starr,Prime Earth,359910
Jonathan Kent II,Earth-22,352554
Jonathan Tyme,Doom Patrol TV Series,358483
Kaiyo,Prime Earth,386719
Kal-L,Earth-Two,438908
Kana,Earth-One,361467
Kara Zor-El,Celebration,405726
Kara Zor-El,Earth-One,553139
Kefong,Wildstorm Universe,357313
Kevin Creedy,Prime Earth,353781
Lana Kurree,Earth-Two,354678
Liam James,Prime Earth,355425
Liri Lee,New Earth,359111
Lydda Jath,Earth-Forty-Seven,362245
Magali,Prime Earth,352482
Malice,Arrowverse,364665
Margot Montgomery,Justice League Action,359726
Maritza Blackbird,Wildstorm Universe,369890
Mary Maxwell,Just Imagine,370083
Matthew Ryder,Armageddon 2001,370270
Matthew Ryder,New Earth,363998
Matthew Tyler,New Earth,376642
Meantime,Wildstorm Universe,358024
Merlin Ambrosius,The Brave and the Bold,355122
Metron,Prime Earth,396699
Michael Carter,DC Legends,357236
Michael Carter,Injustice,354564
Michael Carter,Justice League Action,365472
Michael Carter,New Earth,419085
Michael Carter,Prime Earth,404644
Mister E,New Earth,362921
Nathaniel Adam,Flashpoint Paradox,356401
Nathaniel Adam,New Earth,420228
Ned Creegan,Earth-One,359806
Nth Metal,Nth Meta,378542
Oliver Queen,Arrowverse,464655
Oracle of Delphi,Quality Universe,356246
Parallax,New Earth,384073
Patrick Kowalski,Prime Earth,354492
Paula Holt,Earth 23,356027
Per Degaton,New Earth,382043
Percival Sutter,Earth-508,353542
Percival Sutter,New Earth,357923
Percival Sutter,The Brave and the Bold,354246
Phantom Stranger,Prime Earth,373507
Phantom Stranger,The Brave and the Bold,353465
Pilgrim,Arrowverse,356246
Qwewq,New Earth,373221
Rikkard Rynders,New Earth,353163
Rose Psychic,Mystik U,351759
Sajan Mehra,New Earth,350013
Sara Quinones,Dakotaverse,363006
Sena,Prime Earth,355148
Sev Tcheru,Earth-Prime,359657
Sir Timothy Hunter,New Earth,357808
Snakefinger,Dakotaverse,371075
Solovar,Prime Earth,372541
Thomas Morita,New Earth,367304
Time Trapper,Pre-Zero Hour,404058
Time Trapper,The Brave and the Bold,351252
Time Trapper,Trapped In Time,352564
Time Wraiths,Time Wraith,351989
Timeless,Prime Earth,347982
Ultra Comics,Earth 33,355817
Ultrasphinx,All-Star Superman,355247
Vyndktvx,Prime Earth,364717
Walker Gabriel,New Earth,362989
Walker Gabriel II,New Earth,348979
Warp,New Teen Titans Shorts,357704
Warp,Teen Titans TV Series,356517
William Matthews,New Earth,368202
Xenon,New Earth,356321
Zatanna Zatara,Damned,356255
Zatanna Zatara,Prime Earth,449626
Adam Blake,New Earth,394472
Amon Tomaz,New Earth,385537
Apache Chief,Super Friends,359479
Ares,Prime Earth,393075
Barbara Gordon,The Doom That Came to Gotham,351734
Billy Batson,Earth-85,382240
Briadach,New Earth,358061
Calculha,New Earth,377156
Circe,New Earth,407095
Connor Hawke,New Earth,390177
Daniel Hall,Prime Earth,369921
Delphae,Wildstorm Universe,353543
Edwald Olafsson,Prime Earth,367849
Element X,Element ,353626
Erzulie,Prime Earth,356899
Eugene Choi,Flashpoint Timeline,369901
Francisco Ramon,Arrowverse,375256
Grant Morrison,New Earth,360407
Greta Hayes,New Earth,380505
Hector Hammond,New Earth,393104
Iris Force,New Earth,355093
James Slade,Quality Universe,363827
Jason Blood,New Earth,426909
Jasper Winters,Arrowverse,363679
Khalid Nassour,Future State,359323
Liv Aberdine,Arrowverse,362530
Lumiun,New Earth,349945
Mary Martin,Arrowverse,367844
Melana,Just Imagine,354389
Mystic Symbol of the Seven,Mystic Symbol of the Seve,349843
Projectra Wind'zzor,Pre-Zero Hour,396908
Randu Singh,New Earth,382990
Rebecca Barrow,Prime Earth,353602
Rebecca Paige,Gotham A.D.,349601
Serge the Horse,Earth-Two,350953
Shazam,Earth-85,364320
Simon Dark,New Earth,363466
Star,Lois & Clark,352730
Terri Bergstrom,Earth-One,358886
Teth-Adam,Earth-85,363723
Teth-Adam,Earth-S,373649
The Presence,The Presenc,379314
Timothy Pepper,Earth-S,354043
Turid Goldenaxe,Prime Earth,358397
Wanda Five,Earth-One,379538
William Payton,Prime Earth,367271
Zatanna Zatara,DCAU,366386
Zera Oliet,Pre-Zero Hour,379285
A'Hwiirdh-Paan'A,New Earth,368922
Aaron Langstrom,New Earth,355916
Ace the Bat-Hound,DCAU,368908
Ace the Bat-Hound,New Earth,357745
Ace the Bat-Hound,The Brave and the Bold,353921
Acheron,Prime Earth,356863
Adam Heller,Blood and Water,362870
Adam Kroft,New Earth,355696
Agent Scar,Dakotaverse,364855
Alba Garcia,Prime Earth,363199
Alecto,New Earth,352471
Aleister Hook,New Earth,362496
Aleister Hook,Prime Earth,357812
Alfred the Cat,Prime Earth,355164
Allen Barr,New Earth,369721
Allirog,Kid Super Power Hour,353930
Amanda Reed,Wildstorm Universe,368127
Andrew Bennett,New Earth,415258
Andrew Bennett,Prime Earth,397840
Angelika Bal,New Earth,353848
Anthony Lupus,New Earth,356416
Anthony Lupus,Prime Earth,352455
Anthony Romulus,DCAU,360752
Arion,Prime Earth,405626
Arune Singh,Post-Rebirth,362352
Asmodeus,New Earth,364455
Atrocitus,Injustice,363426
Autopsy,Dakotaverse,352002
Azzarene,New Earth,365455
Babe Tanaka,New Earth,363056
Badmouth,New Earth,350240
Bagheera,Fables,349574
Bane,Batman vs. TMNT,362949
Barbara Gordon,Earth-43,359594
Barbara Gourdon,DC Bombshells,406323
Barbara Minerva,Batman Unlimited,352400
Barbara Minerva,DC Animated Movie Universe,367109
Barbara Minerva,DC Extended Universe,368852
Barbara Minerva,DC Legends,357223
Barbara Minerva,DC Super Hero Girls TV Series,358641
Barbara Minerva,DC Super Hero Girls,360877
Barbara Minerva,DCAU,367687
Barbara Minerva,DCeased,366598
Barbara Minerva,Future State,356461
Barbara Minerva,Harley Quinn TV Series,359244
Barbara Minerva,Injustice,374917
Barbara Minerva,Justice League Action,357359
Barbara Minerva,Lego Batman,363964
Barbara Minerva,Lego DC Heroes,357160
Barbara Minerva,Lil Gotham,358830
Barbara Minerva,Prime Earth,418799
Barbara Minerva,Super Best Friends Forever,352925
Barbara Minerva,Superman/Batman,351032
Barbara Minerva,Wonder Woman 2009 Movie,355028
Baron Nightblood,Prime Earth,363546
Bathound,Dark Genesis!,363892
Batmongoose,Farm League,353467
Batrok,New Earth,351337
Belial,New Earth,380505
Benjamin Turner,Arkhamverse,376244
Benjamin Turner,Arrowverse,362810
Benjamin Turner,DC Animated Movie Universe,382089
Benjamin Turner,Soul of the Dragon,358893
Big Bad Wolf,Earth-508,351827
Bird-Man,Earth-124.1,350657
Bivvix,New Earth,363581
Black Flash,DC Legends,353059
Black Flash,Smallville,358245
Black Racer,Prime Earth,379652
Blight,Prime Earth,360282
Blythe,Prime Earth,355609
Brenton Hamilton,Prime Earth,359453
Brian Smith,Prime Earth,350885
Brin Londo,Earth-Prime,361585
Brin Londo,Legion of Super-Heroes TV Series,367990
Brin Londo,Post-Rebirth,363809
Brin Londo,Post-Zero Hour,358512
Brin Londo,Pre-Zero Hour,388808
Brine King,DC Extended Universe,356197
Bruce Wayne,Batman vs. TMNT,397684
Bruce Wayne,Earth 43,372091
Bruce Wayne,Earth-43,378939
Bruce Wayne IV,Lil Gotham,365999
Bubastis,Watchmen Movie,360216
Bubastis,Watchmen,360689
Bubastis II,Watchmen,357375
Bubba Brown,Dakotaverse,375891
Bud and Lou the Hyenas,Arkhamverse,353277
Bud and Lou the Hyenas,Harley Quinn TV Series,354298
Bud and Lou the Hyenas,Injustice,350354
Bud and Lou the Hyenas,Lil Gotham,355741
Bud and Lou the Hyenas,New Earth,352093
Bud and Lou the Hyenas,Prime Earth,358304
Bud and Lou the Hyenas,The Batman TV Series,354483
Byron Shelley,Superboy TV Series,364160
Cain,Prime Earth,394082
Carangian Tigracat,Carangian Tigraca,344457
Carnivore,New Earth,361104
Cassandra Arnold,New Earth,354282
Catseye,New Earth,354873
Chama Sierra,New Earth,364725
Charles Wylde,New Earth,364297
Charlie Chokecherry,Imaginary Fiends,357028
Charlie the Dog,New Earth,351335
Cheetah,Ame-Comi,356468
Cheetah,Earth-1927,357037
Cheetah,Super Friends,357462
Cheetah,Trapped In Time,356079
Cindy Burman,Stargirl TV Series,361782
Clawster,New Earth,355679
Coach Humphreys,Prime Earth,353278
Copperhead,Arkhamverse,360536
Copperhead,Prime Earth,370047
Copperhead II,Prime Earth,374907
Cory Wilks,Prime Earth,352332
Count Berlin,New Earth,363642
Count Berlin,Prime Earth,365009
Count Drako,New Earth,354619
Coyote,DC Animated Movie Universe,353178
Coyote,Prime Earth,359113
Creed Quinn,Amalgam Universe,350962
Crimson Claw,Quality Universe,348017
Crimson Fox,Prime Earth,356582
Crucifer,Arrowverse,361078
Crucifer,New Earth,363670
Dagon,Team Titans,366636
Dala,The Brave and the Bold,362427
Dala Vadim,New Earth,371415
Damian Wayne,Earth -22,367209
David,Vamps,360777
Dead Water,Earth -11,349212
Dean Toye,Prime Earth,353525
Death,Fables,349524
Death Angel,New Earth,350912
Deborah Dancer,New Earth,385730
